"Latest: Time (s)","Latest: Force (N)","Run 1: Time (s)","Run 1: Force (N)","Run 2: Time (s)","Run 2: Force (N)"
0,2.90820811526,0,2.18398508267,0,10.0033306377
0.1,5.99747198867,0.1,7.09512252244,0.1,39.6172630799
0.2,11.632832461,0.2,25.0762225036,0.2,84.6888308739
0.3,20.1764010487,0.3,64.3313740671,0.3,137.38737248
0.4,37.2635382239,0.4,119.394956514,0.4,185.910315664
0.5,64.150318309,0.5,154.836621172,0.5,211.348649684
0.6,96.5027190931,0.6,170.463996297,0.6,233.709035815
0.7,116.667804157,0.7,177.909914351,0.7,242.603399934
0.8,132.668606783,0.8,184.450553614,0.8,246.066091309
0.9,144.471179018,0.9,184.269497856,0.9,250.241689731
1,147.933870392,1,178.272025867,1,252.052247312
1.1,136.119982173,1.1,124.125038196,1.1,253.874120879
1.2,120.673662806,1.2,76.6884295607,1.2,254.055176637
1.3,113.216428767,1.3,49.0661104582,1.3,251.509080038
1.4,52.1553743316,1.4,22.9035534058,1.4,249.155355182
1.5,12.5381112518,1.5,5.99747198867,1.5,247.333481616
1.6,2.54609659896,1.6,1.27870629192,1.6,248.962983439
1.7,1.09765053377,1.7,0.362111516297,1.7,249.698522456
1.8,0.735539017478,1.8,0.181055758148,1.8,250.060633973
1.9,0.55448325933,1.9,0.181055758148,1.9,251.146968522
2,-0.181055758148,2,0.181055758148,2,251.871191554
2.1,-0.362111516297,2.1,0.181055758148,2.1,246.790314341
2.2,-0.362111516297,2.2,0.181055758148,2.2,238.970968786
2.3,-0.362111516297,2.3,0.181055758148,2.3,187.177705971
2.4,-0.362111516297,,,2.4,104.129692905
2.5,-0.362111516297,,,2.5,43.2496942277
2.6,-0.362111516297,,,2.6,13.2736502693
2.7,-0.362111516297,,,2.7,3.46269137459
2.8,-0.362111516297,,,2.8,0.916594775626
2.9,-0.362111516297,,,2.9,0.181055758148
3,-0.362111516297,,,3,-0.181055758148
3.1,-0.543167274445,,,3.1,-0.362111516297
3.2,-0.543167274445,,,3.2,-0.362111516297
3.3,-0.543167274445,,,3.3,-0.362111516297
,,,,3.4,-0.362111516297
,,,,3.5,-0.181055758148
,,,,3.6,-0.181055758148
,,,,3.7,-0.362111516297
,,,,3.8,-0.362111516297
,,,,3.9,-0.362111516297
,,,,4,-0.362111516297
,,,,4.1,-0.362111516297
,,,,4.2,-0.362111516297
,,,,4.3,-0.362111516297
,,,,4.4,-0.362111516297
,,,,4.5,-0.362111516297
,,,,4.6,-0.362111516297
,,,,4.7,-0.362111516297
,,,,4.8,-0.362111516297
,,,,4.9,-0.362111516297
,,,,5,-0.362111516297
