"Latest: Time (s)","Latest: Force (N)","Run 1: Time (s)","Run 1: Force (N)","Run 2: Time (s)","Run 2: Force (N)"
0,3.27031963156,0,3.08926387341,0,1.27870629192
0.1,13.4547060274,0.1,16.3515981578,0.1,17.2681929334
0.2,32.8955680586,0.2,47.0631811337,0.2,62.3284447426
0.3,51.9743185735,0.3,85.7751654228,0.3,129.930138441
0.4,68.1448609731,0.4,123.389499178,0.4,193.356233718
0.5,78.329247369,0.5,168.823178489,0.5,225.154151242
0.6,80.3208607086,0.6,196.807609107,0.6,228.062359358
0.7,90.8673586207,0.7,210.081259377,0.7,232.430329523
0.8,98.4943324327,0.8,212.989467492,0.8,227.338136325
0.9,91.229470137,0.9,215.886359622,0.9,217.889288947
1,87.0538717147,1,208.621497327,1,212.989467492
1.1,89.9507638451,1.1,204.445898904,1.1,208.983608843
1.2,97.9511651583,1.2,202.624025338,1.2,202.805081096
1.3,102.126763581,1.3,201.537690789,1.3,202.261913822
1.4,104.129692905,1.4,201.899802305,1.4,204.264843146
1.5,105.770510713,1.5,199.353705706,1.5,203.90273163
1.6,108.859774587,1.6,202.080858063,1.6,206.075400728
1.7,113.397484525,1.7,204.083787388,1.7,208.802553085
1.8,115.40041385,1.8,196.807609107,1.8,194.08045675
1.9,104.491804421,1.9,192.994122201,1.9,189.180635295
2,78.1481916108,2,190.991192877,2,197.169720624
2.1,45.0715677941,2.1,167.73684394,2.1,194.08045675
2.2,19.0787505149,2.2,134.117052848,2.2,178.453081625
2.3,5.81641623052,2.3,83.2290688239,2.3,117.765454691
2.4,-0.362111516297,2.4,31.4358060085,2.4,29.4441926689
2.5,0,2.5,5.45430471422,2.5,12.5381112518
2.6,0,2.6,0.362111516297,2.6,3.813486906
2.7,0,2.7,0,2.7,-0.362111516297
2.8,0,2.8,-0.181055758148,2.8,-0.724223032594
2.9,0,2.9,-0.362111516297,2.9,0
3,0,3,-0.181055758148,3,0
3.1,0.181055758148,3.1,-0.181055758148,3.1,0
3.2,0.181055758148,3.2,-0.181055758148,3.2,0
3.3,0.181055758148,3.3,-0.181055758148,3.3,0
3.4,0,3.4,-0.181055758148,3.4,0
3.5,0,3.5,-0.181055758148,3.5,-0.181055758148
,,3.6,-0.181055758148,3.6,-0.362111516297
,,3.7,-0.181055758148,3.7,-0.181055758148
,,3.8,-0.181055758148,3.8,-0.181055758148
,,3.9,-0.181055758148,3.9,-0.181055758148
,,4,-0.181055758148,,
,,4.1,-0.181055758148,,
,,4.2,-0.181055758148,,
,,4.3,-0.181055758148,,
,,4.4,-0.181055758148,,
