"Latest: Time (s)","Latest: Force (N)","Run 1: Time (s)","Run 1: Force (N)","Run 2: Time (s)","Run 2: Force (N)"
0,1.48239401984,0,1.40318212565,0,4.5377099386
0.1,2.56872856873,0.1,10.3088622296,0.1,24.1709437128
0.2,4.3906021351,0.2,39.209887624,0.2,34.8871813982
0.3,14.3826167879,0.3,66.2777234672,0.3,55.6067497213
0.4,39.6398950496,0.4,78.0916116864,0.4,73.4181099292
0.5,67.6356416533,0.5,83.1838048843,0.5,82.3237900331
0.6,82.8895892773,0.6,86.635180274,0.6,90.3128753614
0.7,90.5278790742,0.7,89.181276873,0.7,96.1292915919
0.8,96.3442953047,0.8,92.0894849882,0.8,101.402540548
0.9,98.7093361455,0.9,92.2705407464,0.9,100.678317515
1,98.7093361455,1,91.0031504394,1,99.9427784979
1.1,99.4335591781,1.1,90.0865556637,1.1,103.032042371
1.2,100.700949485,1.2,94.0924143128,1.2,102.669930855
1.3,100.519893727,1.3,95.9029718942,1.3,100.859373274
1.4,98.8903919037,1.4,93.1758195371,1.4,101.402540548
1.5,92.5308083987,1.5,89.0002211148,1.5,100.497261757
1.6,83.6251282948,1.6,91.7273734719,1.6,89.9507638451
1.7,84.8925186018,1.7,89.9054999056,1.7,87.223611488
1.8,79.8003254039,1.8,35.204028975,1.8,91.4105258952
1.9,67.8166974115,1.9,-0.950542730279,1.9,94.1376782523
2,18.9316427114,2,-1.86713750591,2,99.9427784979
2.1,0.0339479546528,2.1,-1.68608174776,2.1,94.8619012849
2.2,-0.701591062825,2.2,-0.950542730279,2.2,76.5073738026
2.3,-0.15842378838,2.3,-0.407375455834,2.3,82.6859015494
2.4,-0.520535304677,2.4,-0.588431213982,2.4,83.410124582
2.5,-1.24475833727,2.5,-1.13159848843,2.5,82.3237900331
2.6,-1.24475833727,2.6,-0.407375455834,2.6,88.8644292962
,,2.7,0.31684757676,2.7,84.3154033727
,,2.8,0.135791818611,2.8,79.2345261597
,,,,2.9,83.5911803402
,,,,3,82.6859015494
,,,,3.1,81.5882510156
,,,,3.2,82.8669573076
,,,,3.3,89.2265408125
,,,,3.4,91.7726374115
,,,,3.5,92.3158046859
,,,,3.6,92.6779162022
,,,,3.7,90.8560426359
,,,,3.8,91.4105258952
,,,,3.9,89.769708087
,,,,4,89.5886523288
,,,,4.1,91.0484143789
,,,,4.2,87.0425557299
,,,,4.3,27.8033748607
,,,,4.4,-1.64081780822
,,,,4.5,-0.724223032594
,,,,4.6,-1.45976205007
,,,,4.7,-1.82187356637
,,,,4.8,-0.724223032594
,,,,4.9,-0.362111516297
,,,,5,-0.905278790742
,,,,5.1,-1.45976205007
