"Latest: Time (s)","Latest: Force (N)"
0,2.25188099197
0.1,14.7899922438
0.2,34.4119100331
0.3,56.7609801795
0.4,72.3883553047
0.5,75.8397306944
0.6,78.5668830515
0.7,81.2940354086
0.8,82.9348532169
0.9,85.662005574
1,86.2051728484
1.1,85.662005574
1.2,86.929395881
1.3,86.2051728484
1.4,85.8430613321
1.5,83.8401320076
1.6,83.115908975
1.7,82.7537974587
1.8,83.8401320076
1.9,82.9348532169
2,82.5727417006
2.1,80.9319238923
2.2,76.3942139538
2.3,73.8481173548
2.4,75.1155076618
2.5,76.7563254701
2.6,76.2131581956
2.7,75.29656342
2.8,75.6586749363
2.9,74.3912846292
3,72.3883553047
3.1,74.9344519037
3.2,74.0291731129
3.3,69.1180356732
3.4,67.3074780917
3.5,68.3938126406
3.6,68.5748683987
3.7,68.5748683987
3.8,69.2990914313
3.9,69.6612029476
4,72.942838564
4.1,74.7533961455
4.2,74.2102288711
4.3,68.0317011243
4.4,27.87127077
4.5,7.51381396316
4.6,1.1542304582
4.7,-0.294215606991
4.8,-0.47527136514
4.9,-0.656327123288
5,-1.21081038262
5.1,-1.02975462447
5.2,0.0678959093057
5.3,0.0678959093057
5.4,-0.656327123288
5.5,-0.837382881436
5.6,-0.47527136514
5.7,-0.656327123288
