"Latest: Time (s)","Latest: Force (N)","Run 1: Time (s)","Run 1: Force (N)","Run 2: Time (s)","Run 2: Force (N)"
0,1.40318212565,0,4.7527136514,0,2.42162076524
0.1,9.04147192254,0.1,15.1181558054,0.1,14.4165647426
0.2,24.1143637884,0.2,27.475211299,0.2,32.4089807086
0.3,44.2907648371,0.3,33.4726832877,0.3,44.2228689278
0.4,56.1046530562,0.4,36.9240586774,0.4,52.5853817572
0.5,57.3720433633,0.5,38.1914489844,0.5,59.4881325366
0.6,58.4696938971,0.6,39.8322667927,0.6,63.3016194426
0.7,60.6423629948,0.7,41.6428243741,0.7,64.2068982334
0.8,65.0103331602,0.8,41.8238801323,0.8,64.2068982334
0.9,69.1859315825,0.9,40.194378309,0.9,65.3045487672
1,65.9156119509,1,37.64828171,1,65.123493009
1.1,63.5505711101,1.1,36.7430029192,1.1,62.7584521682
1.2,61.3779020123,1.2,38.5535605007,1.2,61.310006103
1.3,59.5560284459,1.3,40.9186013415,1.3,62.3963406519
1.4,57.3720433633,1.4,40.5564898252,1.4,62.7584521682
1.5,45.0149878697,1.5,40.0133225508,1.5,62.5773964101
1.6,9.04147192254,1.6,39.6512110345,1.6,62.3963406519
1.7,1.2221263675,1.7,38.3725047426,1.7,62.3963406519
1.8,0.497903334908,1.8,38.1914489844,1.8,59.6691882948
1.9,-0.0452639395371,1.9,38.0103932263,1.9,57.4852032121
2,-0.226319697686,2,38.0103932263,2,56.9420359377
2.1,0.31684757676,2.1,38.5535605007,2.1,57.1230916958
2.2,-0.0452639395371,2.2,38.1914489844,2.2,58.9449652622
2.3,-0.226319697686,2.3,38.0103932263,2.3,59.4881325366
2.4,-0.961858715164,2.4,37.8293374681,2.4,58.7639095041
2.5,-0.780802957015,2.5,36.0187798867,2.5,56.3988686632
,,2.6,14.3939327728,2.6,55.8557013888
,,2.7,0.758170987247,2.7,56.0367571469
,,2.8,-0.690275077941,2.8,51.3066754653
,,2.9,-1.05238659424,2.9,50.7635081909
,,3,-1.78792561172,3,52.2232702409
,,3.1,-2.15003712801,3.1,52.0308984979
,,3.2,-1.78792561172,3.2,51.8498427398
,,3.3,-1.05238659424,3.3,50.0392851583
,,3.4,-0.509219319792,3.4,50.4013966746
,,,,3.5,53.6717163061
,,,,3.6,55.4935898725
,,,,3.7,55.1201623713
,,,,3.8,54.3959393387
,,,,3.9,52.9474932735
,,,,4,54.9391066132
,,,,4.1,58.2207422296
,,,,4.2,28.0523265281
,,,,4.3,1.1542304582
,,,,4.4,0.792118941899
,,,,4.5,0.611063183751
,,,,4.6,0.248951667454
,,,,4.7,-0.305531591875
,,,,4.8,0.0678959093057
,,,,4.9,0.0678959093057
,,,,5,-0.113159848843
