"Latest: Time (s)","Latest: Force (N)"
0,1.05238659424
0.1,1.05238659424
0.2,0.871330836089
0.3,0.871330836089
0.4,1.05238659424
0.5,1.23344235239
0.6,2.50083265943
0.7,8.49830464809
0.8,28.1315384223
0.9,51.7479988758
1,64.1050543694
1.1,70.1025263581
1.2,75.9189425886
1.3,82.4595818517
1.4,88.0949423241
1.5,89.1925928579
1.6,87.7328308078
1.7,85.7299014833
1.8,84.6435669344
1.9,84.4625111762
2,84.4625111762
2.1,87.3707192915
2.2,88.4570538404
2.3,88.0949423241
2.4,87.7328308078
2.5,87.3707192915
2.6,85.9222732263
2.7,86.1033289845
2.8,87.7328308078
2.9,90.0978716486
3,87.0086077752
3.1,78.8271507039
3.2,79.9248012376
3.3,84.1003996599
3.4,83.9193439018
3.5,82.821693368
3.6,83.5572323855
3.7,82.821693368
3.8,83.5572323855
3.9,84.4625111762
4,86.4654405008
4.1,88.8191653567
4.2,88.2759980822
4.3,89.5547043742
4.4,93.0060797639
4.5,96.8195666699
4.6,96.8195666699
4.7,94.2734700709
4.8,51.5669431177
4.9,3.2363716769
5,-0.950542730279
5.1,-1.31265424658
5.2,0.690275077941
5.3,0.509219319792
5.4,1.23344235239
5.5,1.41449811053
5.6,0.509219319792
5.7,1.05238659424
5.8,3.2363716769
